dimen,id,cr_date,name
dimensionless,1,2016-09-10 03:22:19,Buffer_Coefficient
Monetary value,2,2016-09-10 03:22:19,Capital_Costs
Energy price,3,2016-09-10 03:22:19,Electricity_Revenue
Energy,4,2016-09-10 03:22:19,Energy_Demand
Monetary value,5,2016-09-10 03:22:19,Fixed_Benefits
Monetary value,6,2016-09-10 03:22:19,Fixed_Operating_Costs
dimensionless,7,2016-09-10 03:22:19,Generating_Efficiency
dimensionless,8,2016-09-10 03:22:19,Hydropower_Priority
Volume,9,2016-09-10 03:22:19,Initial_Storage
Volume,10,2016-09-10 03:22:20,Loss_to_Groundwater
Volumetric flow rate,11,2016-09-10 03:22:20,Max._Turbine_Flow
Volumetric flow rate,12,2016-09-10 03:22:20,Maximum_Hydraulic_Outflow
Length,13,2016-09-10 03:22:20,Net_Evaporation
Volume,14,2016-09-10 03:22:20,Observed_Volume
dimensionless,15,2016-09-10 03:22:20,Plant_Factor
dimensionless,16,2016-09-10 03:22:20,Priority
Volume,17,2016-09-10 03:22:20,Storage_Capacity
Length,18,2016-09-10 03:22:20,Tailwater_Elevation
Volume,19,2016-09-10 03:22:20,Top_of_Buffer
Volume,20,2016-09-10 03:22:20,Top_of_Conservation
Volume,21,2016-09-10 03:22:20,Top_of_Inactive
Unit price (volume),22,2016-09-10 03:22:20,Variable_Benefits
Unit price (volume),23,2016-09-10 03:22:20,Variable_Operating_Costs
Length,24,2016-09-10 03:22:20,Volume_Elevation_Curve
Volume,25,2016-09-10 03:22:20,inflow
Volume,26,2016-09-10 03:22:20,outflow
Volume,27,2016-09-10 03:22:20,Maximum_Withdrawal
Volume,28,2016-09-10 03:22:20,Natural_Recharge
Volumetric flow rate,29,2016-09-10 03:22:20,Inflow
Volume,30,2016-09-10 03:22:20,Annual_Water_Use_Rate
dimensionless,31,2016-09-10 03:22:20,Consumption
dimensionless,32,2016-09-10 03:22:20,Demand_Level
dimensionless,33,2016-09-10 03:22:20,Demand_Priority
Unit price (volume),34,2016-09-10 03:22:20,DSM_Cost
dimensionless,35,2016-09-10 03:22:20,DSM_Savings
dimensionless,36,2016-09-10 03:22:20,Loss_Rate
dimensionless,37,2016-09-10 03:22:20,Reuse_Rate
Volumetric flow rate,38,2016-09-10 03:22:20,Runoff
Volumetric flow rate,39,2016-09-10 03:22:20,Daily_Capacity
Length,40,2016-09-10 03:22:20,Fixed_Head
Volumetric flow rate,41,2016-09-10 03:22:20,Max_Turbine_Flow
Volumetric flow rate,42,2016-09-10 03:22:20,Minimum_Flow_Requirement
Length,43,2016-09-10 03:22:20,Distance_Marker
dimensionless,44,2016-09-10 03:22:20,Evaporation
Length,45,2016-09-10 03:22:21,Flow_Stage_Width
Volume,46,2016-09-10 03:22:21,Groundwater_Inflow
dimensionless,47,2016-09-10 03:22:21,Groundwater_Outflow
Length,48,2016-09-10 03:22:21,Reach_Length
dimensionless,49,2016-09-10 03:22:21,River_Flooding_Fraction
Volumetric flow rate,50,2016-09-10 03:22:21,River_Flooding_Threshold
Volumetric flow rate,51,2016-09-10 03:22:21,Surface_Water_Inflow
dimensionless,52,2016-09-10 03:22:21,Loss_from_System
dimensionless,53,2016-09-10 03:22:21,Loss_to_Groundwater
dimensionless,54,2016-09-10 03:22:21,Maximum_Flow___Percent_of_Demand
Volume,55,2016-09-10 03:22:21,Maximum_Flow___Volume
dimensionless,56,2016-09-10 03:22:21,Supply_Preference
Volume,57,2016-09-10 03:22:21,Gain_from_Groundwater
dimensionless,58,2016-09-10 03:22:21,Return_Flow_Routing
Volume,59,2016-09-23 22:41:32,Initial Storage
Volumetric flow rate,60,2016-09-23 22:41:32,Maximum Outflow
Length,61,2016-09-23 22:41:32,Evaporation
Length,62,2016-09-23 22:41:32,Precipitation
Volume,63,2016-09-23 22:41:33,Storage Capacity
Volume,64,2016-09-23 22:41:33,Conservation Pool
Volume,65,2016-09-23 22:41:33,Inactive Pool
Length,66,2016-09-23 22:41:33,Volume Elevation Curve
Volumetric flow rate,67,2016-09-23 22:41:33,Local Accretions
Volume,68,2016-09-23 22:41:33,Storage
