dimen,id,cr_date,name
dimensionless,1,9/10/2016 3:22,Buffer_Coefficient
Monetary value,2,9/10/2016 3:22,Capital_Costs
Energy price,3,9/10/2016 3:22,Electricity_Revenue
Energy,4,9/10/2016 3:22,Energy_Demand
Monetary value,5,9/10/2016 3:22,Fixed_Benefits
Monetary value,6,9/10/2016 3:22,Fixed_Operating_Costs
dimensionless,7,9/10/2016 3:22,Generating_Efficiency
dimensionless,8,9/10/2016 3:22,Hydropower_Priority
Volume,9,9/10/2016 3:22,Initial_Storage
Volume,10,9/10/2016 3:22,Loss_to_Groundwater
Volumetric flow rate,11,9/10/2016 3:22,Max._Turbine_Flow
Volumetric flow rate,12,9/10/2016 3:22,Maximum_Hydraulic_Outflow
Length,13,9/10/2016 3:22,Net_Evaporation
Volume,14,9/10/2016 3:22,Observed_Volume
dimensionless,15,9/10/2016 3:22,Plant_Factor
dimensionless,16,9/10/2016 3:22,Priority
Volume,17,9/10/2016 3:22,Storage_Capacity
Length,18,9/10/2016 3:22,Tailwater_Elevation
Volume,19,9/10/2016 3:22,Top_of_Buffer
Volume,20,9/10/2016 3:22,Top_of_Conservation
Volume,21,9/10/2016 3:22,Top_of_Inactive
Unit price (volume),22,9/10/2016 3:22,Variable_Benefits
Unit price (volume),23,9/10/2016 3:22,Variable_Operating_Costs
Length,24,9/10/2016 3:22,Volume_Elevation_Curve
Volume,25,9/10/2016 3:22,inflow
Volume,26,9/10/2016 3:22,outflow
Volume,27,9/10/2016 3:22,Maximum_Withdrawal
Volume,28,9/10/2016 3:22,Natural_Recharge
Volumetric flow rate,29,9/10/2016 3:22,Inflow
Volume,30,9/10/2016 3:22,Annual_Water_Use_Rate
dimensionless,31,9/10/2016 3:22,Consumption
dimensionless,32,9/10/2016 3:22,Demand_Level
dimensionless,33,9/10/2016 3:22,Demand_Priority
Unit price (volume),34,9/10/2016 3:22,DSM_Cost
dimensionless,35,9/10/2016 3:22,DSM_Savings
dimensionless,36,9/10/2016 3:22,Loss_Rate
dimensionless,37,9/10/2016 3:22,Reuse_Rate
