"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Func_typ","rsi_par4","t","ValueOrder","Date exported to this file"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","t1","1","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","t2","2","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","t3","3","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","t4","4","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","t5","5","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","t6","6","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","t7","7","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","t8","8","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","t9","9","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","t10","10","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","t11","11","05/27/2018"
"envSiteExist","j20j21","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","t12","12","05/27/2018"
