"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Func_typ","rsi_par4","ValueOrder","Date exported to this file"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","1","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","2","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","3","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","4","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","5","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","6","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","7","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","3.0","8","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","9","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","10","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","11","05/27/2018"
"envSiteExist","j21j23","base case scenario 2003","rsi_par","MultiAttributeSeries","2.0","1.0","12","05/27/2018"
