"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Func_typ","rsi_par2","rsi_par3","rsi_par4","t","ValueOrder","Date exported to this file"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.42240891","0.04896029","t1","1","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.42240891","0.04896029","t2","2","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.42240891","0.04896029","t3","3","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.14862101","0.04447113","t4","4","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.14862101","0.04447113","t5","5","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.14862101","0.04447113","t6","6","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.14862101","0.04447113","t7","7","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.14862101","0.04447113","t8","8","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.42240891","0.04896029","t9","9","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.42240891","0.04896029","t10","10","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.42240891","0.04896029","t11","11","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","rsi_par","MultiAttributeSeries","1.0","1.0","0.42240891","0.04896029","t12","12","05/27/2018"
