"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 0","1","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 8"," 5","2","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 26.8"," 10","3","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 69.7"," 15","4","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 156"," 20","5","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 293"," 25","6","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 478"," 30","7","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 767"," 35","8","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1132"," 40","9","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1543"," 45","10","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2013"," 50","11","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2483"," 55","12","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2976"," 60","13","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3538"," 65","14","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3741"," 75","15","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3960"," 77.3","16","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4155"," 80","17","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4563"," 85","18","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4997"," 90","19","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5458"," 95","20","04/23/2018"
"Reservoir","Devils Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5908"," 100 ","21","04/23/2018"
