"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 5240","1","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 250"," 5260","2","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1200"," 5290","3","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2600"," 5310","4","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5650"," 5340","5","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 10000"," 5370","6","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 11500"," 5380","7","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 12000"," 5384","8","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 12200"," 5385","9","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 12400"," 5386","10","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 12800"," 5388","11","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 13200"," 5390","12","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 13500"," 5392","13","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 14000"," 5394","14","04/23/2018"
"Reservoir","Porcupine Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 15000"," 5397 ","15","04/23/2018"
