"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 50","1","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 100"," 60","2","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 625"," 75","3","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 890"," 80","4","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1185"," 85","5","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1520"," 90","6","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1908"," 95","7","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2348"," 100","8","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2860"," 105","9","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3460"," 110","10","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4135"," 115","11","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4574"," 118","12","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4882"," 120","13","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5198"," 122","14","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5526"," 124","15","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5694"," 125","16","04/23/2018"
"Reservoir","Whitney","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 6588"," 130 ","17","04/23/2018"
