"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Oct"," 11.332","1"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Nov"," 10.259","2"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Dec"," 9.186","3"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Jan"," 8.714","4"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Feb"," 9.779","5"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Mar"," 11.568","6"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Apr"," 14.449","7"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","May"," 22.701","8"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Jun"," 23.152","9"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Jul"," 21.152","10"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Aug"," 18.809","11"
"","Dewitt Spring Headflow","USU WEAP Model 2017","Headflow_Se","Sep"," 14.479 ","12"
