"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Jan","0","1"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Feb","0","2"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Mar","0","3"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Apr","0","4"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","May"," 0","5"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Jun"," 0.089","6"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Jul"," 0.439","7"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Aug"," 0.376","8"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Sep","0.097","9"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Oct","0","10"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Nov","0","11"
"Demand site","Irrigation Release Requir","USU WEAP Model 2017","Minimum Flow Requirement_Se","Dec","0","12"
