"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 221.176","1"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 60.63749","2"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 20.68512","3"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 16.92178","4"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 10.42869","5"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 3.948858","6"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 33.71105","7"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","May"," 456.4773","8"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 608.9324","9"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 675.3607","10"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 633.501","11"
"Demand site","Bear River Canal Company","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 470.9079 ","12"
