"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","1"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 0","7"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","May"," 13","8"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 23.7","9"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 17","10"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 15","11"
"Demand site","Harris Irr","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 12 ","12"
