"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 257.3597","1"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 0","7"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","May"," 1698.8699","8"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 1973.315","9"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 1955.2147","10"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 1508.83598","11"
"Demand site","Hyrum Canal","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 985.71377 ","12"
