"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","1"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","2"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","3"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 0","4"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","May"," 2","5"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 130","6"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 256","7"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 160","8"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 121","9"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","10"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","11"
"Demand site","Last Chance Canal Co","USU WEAP Model 2017","Monthly Demand_Se","Dec","0","12"
