"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 671.9475","1"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 465.1256","2"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 319.5416","3"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 319.5416","4"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 465.126","5"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 671.9475","6"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 1113.321","7"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","May"," 1353.651","8"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 1474.971","9"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 1474.971","10"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 1353.651","11"
"Demand site","Logan Potable","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 1078.659 ","12"
