"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","1"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 8","7"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","May"," 35","8"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 50","9"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 60.7","10"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 47","11"
"Demand site","Montpelier Irr","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 37 ","12"
