"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 33.63","1"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 3.916","7"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","May"," 114.7099","8"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 144.9385","9"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 148.8","10"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 139.5357","11"
"Demand site","West Cache Irr","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 95.45597 ","12"
