"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Oct"," 6.9637","1"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Nov"," 0","2"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Dec"," 0","3"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Jan"," 0","4"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Feb"," 0","5"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Mar"," 0","6"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Apr"," 0","7"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","May"," 10.5459","8"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Jun"," 17.8822","9"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Jul"," 26.3504","10"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Aug"," 24.774","11"
"Demand site","Providence Irr","USU WEAP Model 2017","Monthly Variation_Se","Sep"," 13.4833 ","12"
