"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 5616","1","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0.4"," 5620","2","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 15"," 5630","3","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 78"," 5640","4","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 222"," 5650","5","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 480"," 5660","6","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 888"," 5670","7","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1478"," 5680","8","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2285"," 5690","9","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3343"," 5700","10","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4658"," 5705","11","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 6786"," 5710","12","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 10018"," 5715","13","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 14647"," 5720","14","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 15760"," 5721","15","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 26937"," 5730","16","04/23/2018"
"Reservoir","Alexander","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 39227"," 5740 ","17","04/23/2018"
