"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 5902","1","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 29500"," 5902.5","2","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 59200"," 5903","3","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 89100"," 5903.5","4","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 119100"," 5904","5","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 149100"," 5904.5","6","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 179500"," 5905","7","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 210000"," 5905.5","8","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 240700"," 5906","9","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 271600"," 5906.5","10","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 302600"," 5907","11","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 333800"," 5907.5","12","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 365100"," 5908","13","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 396600"," 5908.5","14","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 428400"," 5909","15","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 460300"," 5909.5","16","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 492300"," 5910","17","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 524300"," 5910.5","18","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 556700"," 5911","19","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 589200"," 5911.5","20","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 621800"," 5912","21","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 654500"," 5912.5","22","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 687500"," 5913","23","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 720600"," 5913.5","24","04/23/2018"
"Reservoir","Bear Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 754000"," 5914","25","04/23/2018"
