"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 4590","1","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 130"," 4600","2","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 649"," 4610","3","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1739"," 4620","4","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3456"," 4630","5","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5937"," 4640","6","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 9236"," 4650","7","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 13206"," 4660","8","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 17721"," 4670","9","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 18684"," 4672","10","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 22600"," 4680","11","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 28100"," 4690","12","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 34100"," 4700","13","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 40700"," 4710","14","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 47900"," 4720","15","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 55800"," 4730","16","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 64500"," 4740","17","04/23/2018"
"Reservoir","Hyrum Reservoir","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 73900"," 4750 ","18","04/23/2018"
