"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 5918.5","1","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 536"," 5918.7","2","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 930"," 5918.8","3","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1368"," 5918.9","4","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1850"," 5919","5","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2288"," 5919.1","6","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3374"," 5919.2","7","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4252"," 5919.3","8","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5131"," 5919.4","9","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5887"," 5919.5","10","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 6451"," 5919.6","11","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 7014"," 5919.7","12","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 7578"," 5919.8","13","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 8142"," 5919.9","14","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 8706"," 5920","15","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 9269"," 5920.1","16","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 9833"," 5920.2","17","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 10397"," 5920.3","18","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 11520"," 5920.4","19","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 12598"," 5920.5","20","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 13676"," 5920.6","21","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 14754"," 5920.7","22","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 15832"," 5920.8","23","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 16910"," 5920.9","24","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 18496"," 5921","25","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 19515"," 5921.1","26","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 20535"," 5921.2","27","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 21554"," 5921.3","28","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 22574"," 5921.4","29","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 23594"," 5921.5","30","04/23/2018"
"Reservoir","Mud Lake","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 59293"," 5925 ","31","04/23/2018"
