"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 6885","1","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 50"," 6890","2","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 300"," 6900","3","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 500"," 6910","4","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1000"," 6920","5","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1500"," 6930","6","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2000"," 6940","7","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3000"," 6950","8","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4000"," 6960","9","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4100"," 6961","10","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4200"," 6962","11","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4400"," 6964","12","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4700"," 6966","13","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4900"," 6968","14","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5300"," 6970","15","04/23/2018"
"Reservoir","Woodruff","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 5500"," 6971 ","16","04/23/2018"
