"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 6400","1","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 18"," 6404","2","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 980"," 6410","3","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3135"," 6415","4","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 6195"," 6420","5","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 10245"," 6425","6","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 15295"," 6430","7","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 21530"," 6435","8","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 37700"," 6445","9","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 47405"," 6450","10","04/23/2018"
"Reservoir","Woodruff Narrows","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 70780"," 6460 ","11","04/23/2018"
