"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Oct"," 73","1"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Nov"," 27","2"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Dec"," 27","3"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Jan"," 27","4"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Feb"," 27","5"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Mar"," 27","6"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Apr"," 73","7"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","May"," 73","8"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Jun"," 73","9"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Jul"," 73","10"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Aug"," 73","11"
"Demand site","Box Elder County MandI","USU WEAP Model 2017","Consumption_Se","Sep"," 73 ","12"
