"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Oct"," 45.22266","1"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Nov"," 29.62098","2"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Dec"," 10","3"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Jan"," 10","4"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Feb"," 29.62098","5"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Mar"," 45.22266","6"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Apr"," 61.13815","7"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","May"," 65.8182","8"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Jun"," 67.64786","9"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Jul"," 67.64786","10"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Aug"," 65.8182","11"
"Demand site","Logan Potable","USU WEAP Model 2017","Consumption_Se","Sep"," 60.30937 ","12"
