"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Oct"," 63.70581","1"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Nov"," 46.61101","2"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Dec"," 10","3"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Jan"," 10","4"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Feb"," 46.61101","5"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Mar"," 63.71581","6"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Apr"," 75.71592","7"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","May"," 78.5609","8"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Jun"," 79.60595","9"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Jul"," 79.60595","10"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Aug"," 78.5609","11"
"Demand site","North Cache Potable","USU WEAP Model 2017","Consumption_Se","Sep"," 75.1844 ","12"
