"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","1"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","2"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","3"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 13","4"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","May"," 84","5"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 159","6"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 176","7"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 106","8"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 71","9"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","10"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","11"
"Demand site","Bench B","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","12"
