"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 42150","1"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 3406","2"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 4258","5"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 60884","6"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 59181","7"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","May"," 61309","8"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 46834","9"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 50240","10"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 43002","11"
"Demand site","Bird Refuge","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 54497 ","12"
