"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","1"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 63","7"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","May"," 153","8"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 216","9"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 156","10"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 88","11"
"Demand site","Dingle Irr","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 87 ","12"
