"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","1"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","2"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","3"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 0","4"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","May"," 24","5"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 36","6"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 36","7"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 40","8"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 32","9"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","10"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","11"
"Demand site","Gentile Valley","USU WEAP Model 2017","Monthly Demand_Se","Dec","0","12"
