"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 208.23","1"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 189.57","7"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","May"," 1194.38","8"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 2284.59","9"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 2636","10"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 2384.45","11"
"Demand site","Highline Canal","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 1173.18 ","12"
