"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 47.8286","1"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 32.2175","7"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","May"," 103.46803","8"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 129.95923","9"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 134.34387","10"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 125.58399","11"
"Demand site","Logan Irr","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 92.4494 ","12"
