"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 485.76359","1"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 0","7"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","May"," 736.02745","8"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 1247.74046","9"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 1839.06337","10"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 1729.41071","11"
"Demand site","Paradise Canal","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 940.98499 ","12"
