"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","1"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","2"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","3"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 0","4"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","May"," 20","5"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 22","6"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 22.4","7"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 22.4","8"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 18","9"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","10"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","11"
"Demand site","Preston Irr","USU WEAP Model 2017","Monthly Demand_Se","Dec","0","12"
