"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","1"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 0","7"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","May"," 901.46095","8"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 1293.35895","9"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 1451.89213","10"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 1285.86509","11"
"Demand site","Wellsville East Field Canal","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 1001.2286 ","12"
