"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 0","1"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 30","7"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","May"," 100","8"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 128","9"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 19","10"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 4","11"
"Demand site","West Fork","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 10 ","12"
