"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Oct"," 7.183","1"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Nov"," 0","2"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Dec"," 0","3"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Jan"," 0","4"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Feb"," 0","5"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Mar"," 0","6"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Apr"," 4.838","7"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","May"," 15.539","8"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Jun"," 19.518","9"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Jul"," 20.176","10"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Aug"," 18.861","11"
"Demand site","Cub River Irr","USU WEAP Model 2017","Monthly Variation_Se","Sep"," 13.884 ","12"
