"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Oct"," 9","1"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Nov"," 4","2"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Dec"," 3","3"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Jan"," 3","4"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Feb"," 3","5"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Mar"," 3","6"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Apr"," 5","7"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","May"," 8","8"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Jun"," 14","9"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Jul"," 18","10"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Aug"," 17","11"
"Demand site","Wasatch Front Project","USU WEAP Model 2017","Monthly Variation_Se","Sep"," 13 ","12"
