"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Oct"," 3","1"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Nov"," 3","2"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Dec"," 3","3"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Jan"," 3","4"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Feb"," 3","5"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Mar"," 3","6"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Apr"," 99","7"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","May"," 99","8"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Jun"," 99","9"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Jul"," 99","10"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Aug"," 99","11"
"Reservoir","Bear Lake","USU WEAP Model 2017","Priority_Se","Sep"," 99 ","12"
