"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Oct"," 5922.036","1"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Nov"," 5921.229","2"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Dec"," 5920.421","3"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Jan"," 5919.614","4"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Feb"," 5918.807","5"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Mar"," 5918","6"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Apr"," 5923.65","7"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","May"," 5923.65","8"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Jun"," 5923.65","9"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Jul"," 5923.65","10"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Aug"," 5923.65","11"
"Reservoir","Bear Lake","USU WEAP Model 2017","Top of Conservation_Se","Sep"," 5922.843 ","12"
