"Column1","Column2","Column3"
"1922","10","13800.0"
"1922","11","15600.0"
"1922","12","14800.0"
"1923","01","15000.0"
"1923","02","11900.0"
"1923","03","15600.0"
"1923","04","17300.0"
"1923","05","78100.0"
"1923","06","117000.0"
"1923","07","46500.0"
"1923","08","22100.0"
"1923","09","17700.0"
"1923","10","29600.0"
"1923","11","26500.0"
"1923","12","14800.0"
"1924","01","14370.0"
"1924","02","15910.0"
"1924","03","12520.0"
"1924","04","7350.0"
"1924","05","21080.0"
"1924","06","1730.0"
"1924","07","3240.0"
"1924","08","2100.0"
"1924","09","2820.0"
"1924","10","7430.0"
"1924","11","6720.0"
"1924","12","5650.0"
"1925","01","6760.0"
"1925","02","8280.0"
"1925","03","3320.0"
"1925","04","13300.0"
"1925","05","3380.0"
"1925","06","3810.0"
"1925","07","7870.0"
"1925","08","4730.0"
"1925","09","8630.0"
"1925","10","14800.0"
"1925","11","11200.0"
"1925","12","9650.0"
"1926","01","7380.0"
"1926","02","8390.0"
"1926","03","10500.0"
"1926","04","23600.0"
"1926","05","26100.0"
"1926","06","7020.0"
"1926","07","6150.0"
"1926","08","2090.0"
"1926","09","1900.0"
"1926","10","4980.0"
"1926","11","5300.0"
"1926","12","4370.0"
"1927","01","5110.0"
"1927","02","4600.0"
"1927","03","9790.0"
"1927","04","563.0"
"1927","05","6160.0"
"1927","06","31800.0"
"1927","07","21500.0"
"1927","08","4840.0"
"1927","09","6710.0"
"1927","10","13100.0"
"1927","11","5090.0"
"1927","12","4930.0"
"1928","01","6300.0"
"1928","02","3710.0"
"1928","03","1240.0"
"1928","04","1050.0"
"1928","05","3220.0"
"1928","06","24700.0"
"1928","07","12300.0"
"1928","08","3840.0"
"1928","09","4500.0"
"1928","10","6750.0"
"1928","11","10100.0"
"1928","12","6940.0"
"1929","01","8300.0"
"1929","02","6330.0"
"1929","03","2550.0"
"1929","04","1010.0"
"1929","05","1070.0"
"1929","06","24900.0"
"1929","07","20900.0"
"1929","08","8660.0"
"1929","09","10900.0"
"1929","10","14700.0"
"1929","11","13300.0"
"1929","12","13100.0"
"1930","01","9170.0"
"1930","02","5550.0"
"1930","03","7320.0"
"1930","04","1210.0"
"1930","05","23500.0"
"1930","06","21000.0"
"1930","07","8650.0"
"1930","08","13700.0"
"1930","09","12000.0"
"1930","10","8810.0"
"1930","11","9340.0"
"1930","12","8620.0"
"1931","01","8750.0"
"1931","02","7410.0"
"1931","03","4270.0"
"1931","04","3350.0"
"1931","05","702.0"
"1931","06","480.0"
"1931","07","67.0"
"1931","08","119.0"
"1931","09","137.0"
"1931","10","694.0"
"1931","11","2070.0"
"1931","12","415.0"
"1932","01","422.0"
"1932","02","835.0"
"1932","03","559.0"
"1932","04","391.0"
"1932","05","516.0"
"1932","06","3220.0"
"1932","07","19950.0"
"1932","08","6800.0"
"1932","09","7660.0"
"1932","10","3250.0"
"1932","11","532.0"
"1932","12","506.0"
"1933","01","553.0"
"1933","02","444.0"
"1933","03","492.0"
"1933","04","476.0"
"1933","05","676.0"
"1933","06","11100.0"
"1933","07","6330.0"
"1933","08","2640.0"
"1933","09","1550.0"
"1933","10","4180.0"
"1933","11","2020.0"
"1933","12","2030.0"
"1934","01","1110.0"
"1934","02","611.0"
"1934","03","430.0"
"1934","04","298.0"
"1934","05","123.0"
"1934","06","119.0"
"1934","07","61.0"
"1934","08","61.0"
"1934","09","60.0"
"1934","10","246.0"
"1934","11","238.0"
"1934","12","246.0"
"1935","01","290.0"
"1935","02","313.0"
"1935","03","357.0"
"1935","04","240.0"
"1935","05","301.0"
"1935","06","337.0"
"1935","07","411.0"
"1935","08","426.0"
"1935","09","432.0"
"1935","10","1560.0"
"1935","11","738.0"
"1935","12","605.0"
"1936","01","482.0"
"1936","02","434.0"
"1936","03","567.0"
"1936","04","801.0"
"1936","05","579.0"
"1936","06","399.0"
"1936","07","534.0"
"1936","08","631.0"
"1936","09","1760.0"
"1936","10","10170.0"
"1936","11","2100.0"
"1936","12","5540.0"
"1937","01","4210.0"
"1937","02","3410.0"
"1937","03","881.0"
"1937","04","716.0"
"1937","05","589.0"
"1937","06","575.0"
"1937","07","1020.0"
"1937","08","2070.0"
"1937","09","1700.0"
"1937","10","5340.0"
"1937","11","1240.0"
"1937","12","1290.0"
"1938","01","793.0"
